Sales Date,Business Unit,Discount_amount,promos
2020-02-25,Surface Laptop,260,2
2020-02-26,Surface Laptop,260,2
2020-02-27,Surface Laptop,260,2
2020-02-28,Surface Laptop,260,2
2020-02-29,Surface Laptop,260,2
2020-03-01,Surface Laptop,260,2
2020-03-02,Surface Laptop,260,2
2020-03-03,Surface Laptop,260,2
2020-03-04,Surface Laptop,260,2
2020-03-05,Surface Laptop,260,2
2020-03-06,Surface Laptop,260,2
2020-03-07,Surface Laptop,260,2
2020-03-08,Surface Laptop,260,2
2020-03-09,Surface Laptop,260,2
2020-03-10,Surface Laptop,260,2
2020-03-11,Surface Laptop,260,2
2020-03-12,Surface Laptop,260,2
2020-03-13,Surface Laptop,260,2
2020-03-14,Surface Laptop,260,2
2020-03-15,Surface Laptop,260,2
2020-03-16,Surface Laptop,260,2
2020-03-17,Surface Laptop,260,2
2020-03-18,Surface Laptop,260,2
2020-03-19,Surface Laptop,260,2
2020-03-20,Surface Laptop,260,2
2020-03-21,Surface Laptop,260,2
2020-03-22,Surface Laptop,260,2
2020-03-23,Surface Laptop,260,2
2020-03-24,Surface Laptop,260,2
2020-03-25,Surface Laptop,260,2
2020-03-26,Surface Laptop,260,2
2020-03-27,Surface Laptop,260,2
2020-03-28,Surface Laptop,260,2
2020-03-29,Surface Laptop,260,2
2020-03-30,Surface Laptop,260,2
2020-03-31,Surface Laptop,260,2
2020-04-01,Surface Laptop,260,2
2020-04-02,Surface Laptop,260,2
2020-04-03,Surface Laptop,260,2
2020-04-04,Surface Laptop,260,2
2020-04-05,Surface Laptop,260,2
2020-04-06,Surface Laptop,260,2
2020-04-07,Surface Laptop,260,2
2020-04-08,Surface Laptop,260,2
2020-04-09,Surface Laptop,260,2
2020-04-10,Surface Laptop,260,2
2020-04-11,Surface Laptop,260,2
2020-04-12,Surface Laptop,260,2
2020-04-13,Surface Laptop,260,2
2020-04-14,Surface Laptop,260,2
2020-04-15,Surface Laptop,260,2
2020-04-16,Surface Laptop,260,2
2020-04-17,Surface Laptop,260,2
2020-04-18,Surface Laptop,260,2
2020-04-19,Surface Laptop,260,2
2020-04-20,Surface Laptop,260,2
2020-04-21,Surface Laptop,260,2
2020-04-22,Surface Laptop,260,2
2020-04-23,Surface Laptop,260,2
2020-04-24,Surface Laptop,260,2
2020-04-25,Surface Laptop,260,2
